category,query_id,avg_runtime_ms,avg_runtime_after,speedup,improvement_ms,improvement_pct,improved
aggregation,Q029,101.8934,0.1824,558.626096491228,101.711,99.82098938694755,1
complex_queries,Q157,41188.213,100.5493,409.6320213069609,41087.663700000005,99.75587845969429,1
complex_queries,Q147,55.2194,0.4841,114.06610204503203,54.7353,99.12331535655949,1
two_table_joins,Q177,28.9893,0.3271,88.62519107306635,28.6622,98.8716526442515,1
aggregation,Q122,64041.6633,2025.5294,31.617246977506227,62016.1339,96.8371692807048,1
single_table_filters,Q080,6.9358,0.2354,29.46389124893798,6.7004,96.60601516768072,1
single_table_filters,Q082,3.8298,0.1808,21.182522123893808,3.649,95.27912684735495,1
two_table_joins,Q121,51.329,2.5205,20.364610196389602,48.8085,95.08952054394203,1
two_table_joins,Q120,52.327,2.7673,18.909044917428538,49.5597,94.71152559863934,1
aggregation,Q004,3.9993,0.2158,18.532437442075995,3.7835,94.60405570974922,1
complex_queries,Q048,5.5729,0.3245,17.173805855161785,5.2484,94.17717884763769,1
aggregation,Q020,2.6071,0.1642,15.877588306942751,2.4429,93.70181427639906,1
single_table_filters,Q085,3.1186,0.2141,14.566090611863613,2.9044999999999996,93.1347399474123,1
two_table_joins,Q122,52.3765,3.882,13.49214322514168,48.4945,92.58827909463213,1
three_table_joins,Q032,706.6201,65.3676,10.809944070150962,641.2524999999999,90.74925833556107,1
complex_queries,Q167,187.9774,21.9739,8.55457611074957,166.00349999999997,88.31035007399825,1
complex_queries,Q082,21110.9222,2538.3739,8.3167110251173,18572.548300000002,87.97601603590772,1
complex_queries,Q148,69.4415,8.4382,8.22942096655685,61.0033,87.84847677541526,1
complex_queries,Q027,70688.3246,10424.8081,6.780779456266442,60263.516500000005,85.25243290318413,1
two_table_joins,Q085,341.362,51.1592,6.672543745797433,290.2028,85.01321178104183,1
complex_queries,Q164,136.8418,23.833,5.741694289430622,113.00880000000001,82.58353807096955,1
three_table_joins,Q104,609.0675,107.9339,5.642967594055251,501.1336,82.27882788032525,1
three_table_joins,Q162,756.0734,134.8839,5.605364317016337,621.1895,82.15994637557677,1
three_table_joins,Q158,18.7661,3.5236,5.325831535929164,15.242500000000001,81.2235893446161,1
complex_queries,Q023,824.399,162.2183,5.082034517683886,662.1807,80.32284124556193,1
three_table_joins,Q154,99.6753,22.3506,4.459625244959867,77.32469999999999,77.57659119159912,1
aggregation,Q150,138.5849,32.1303,4.3132152516471995,106.4546,76.81543948871774,1
single_table_filters,Q072,3.0266,0.7456,4.059281115879829,2.281,75.36509614749224,1
three_table_joins,Q185,1026.4382,261.9662,3.918208532245763,764.472,74.47813224410392,1
three_table_joins,Q137,102.9317,26.3868,3.9008784695377994,76.54490000000001,74.36474866343411,1
complex_queries,Q028,96.8434,24.977,3.87730311886936,71.8664,74.20887742479094,1
complex_queries,Q042,1620.4633,453.5172,3.573102188847523,1166.9461,72.0131150146998,1
complex_queries,Q090,105.002,29.8193,3.521276488717039,75.1827,71.60120759604578,1
three_table_joins,Q160,74.7781,24.1927,3.090936522174044,50.58539999999999,67.64734594754346,1
single_table_filters,Q057,5.3577,1.7562,3.0507345404851387,3.6015000000000006,67.22100901506244,1
three_table_joins,Q152,108.1808,36.0473,3.0010791376885373,72.1335,66.67865277387484,1
two_table_joins,Q014,136.3523,45.9862,2.96506995576934,90.36610000000002,66.27398291044597,1
two_table_joins,Q034,56.2029,19.1532,2.934386943173987,37.0497,65.9213314615438,1
complex_queries,Q049,251.7771,86.0694,2.925280064691981,165.7077,65.81523895540937,1
two_table_joins,Q150,71.8134,24.6915,2.908425976550635,47.1219,65.61714109065996,1
aggregation,Q012,84.9213,30.9824,2.740952928114026,53.938900000000004,63.5163380683056,1
single_table_filters,Q105,3.3258,1.2206,2.724725544814026,2.1052,63.29905586625774,1
three_table_joins,Q073,0.819,0.3157,2.5942350332594235,0.5033,61.452991452991455,1
single_table_filters,Q073,3.3053,1.2922,2.557885776195635,2.0130999999999997,60.90521283998426,1
three_table_joins,Q074,1.2348,0.5388,2.291759465478842,0.696,56.36540330417881,1
aggregation,Q058,134.8711,59.8986,2.251656966940797,74.97250000000001,55.588261680967975,1
three_table_joins,Q078,1.4356,0.6379,2.2505094842451796,0.7977,55.5656171635553,1
single_table_filters,Q065,2.9304,1.3415,2.184420424897503,1.5889000000000002,54.22126672126672,1
aggregation,Q008,0.6356,0.2912,2.182692307692308,0.34440000000000004,54.185022026431724,1
two_table_joins,Q127,41.844,20.4994,2.0412304750382937,21.3446,51.009941688175125,1
