category,query_id,avg_runtime_ms,avg_runtime_after,speedup,improvement_ms,improvement_pct,improved
single_table_filters,Q001,333.0785,315.8883,1.0544186030315146,17.190200000000004,5.161005588772618,1
single_table_filters,Q002,263.3249,273.3189,0.9634346545372457,-9.993999999999971,-3.795311419466967,0
single_table_filters,Q003,21.5571,25.8064,0.8353392956785913,-4.249300000000002,-19.71183507985769,0
single_table_filters,Q004,172.4494,176.7325,0.9757650686772382,-4.28309999999999,-2.4836850693594705,0
single_table_filters,Q005,48.1961,51.7271,0.9317379091424032,-3.530999999999999,-7.326318934519596,0
single_table_filters,Q006,54.3407,55.2935,0.9827683181567453,-0.9528000000000034,-1.7533819034351847,0
single_table_filters,Q007,0.2787,0.2485,1.1215291750503018,0.030200000000000005,10.836024398995336,1
single_table_filters,Q008,9.2887,9.4648,0.9813942185783112,-0.17609999999999992,-1.8958519491425057,0
single_table_filters,Q009,1.7672,1.7544,1.007295941632467,0.012800000000000145,0.7243096423721223,0
single_table_filters,Q010,159.5744,159.4386,1.0008517385375937,0.13579999999998904,0.08510136964324418,0
single_table_filters,Q011,117.1477,122.3639,0.9573714142814996,-5.216200000000001,-4.452669578660103,0
single_table_filters,Q012,138.3369,130.366,1.0611424757989045,7.9709,5.761947824477778,1
single_table_filters,Q013,5.6598,6.4906,0.8719995069793239,-0.8308,-14.678963920986607,0
single_table_filters,Q014,22.3795,23.1718,0.9658075764506857,-0.7923000000000009,-3.540293572242458,0
single_table_filters,Q015,3.2249,3.9256,0.8215049928673324,-0.7007000000000003,-21.727805513349264,0
single_table_filters,Q016,10.6476,11.821,0.9007359783436258,-1.173399999999999,-11.02032382884405,0
single_table_filters,Q017,71.4923,72.6661,0.9838466630244365,-1.1738,-1.6418551368469052,0
single_table_filters,Q018,69.1439,73.1782,0.9448701935822417,-4.034300000000002,-5.8346434031057,0
single_table_filters,Q019,67.1977,68.4763,0.9813278462767411,-1.2785999999999973,-1.9027436950967032,0
single_table_filters,Q020,64.4176,67.4161,0.9555224938849918,-2.998500000000007,-4.654783785797681,0
single_table_filters,Q021,61.8069,63.253,0.977137843264351,-1.4461000000000013,-2.3397064081842016,0
single_table_filters,Q022,59.1216,61.2863,0.9646788923462504,-2.1646999999999963,-3.6614367676111543,0
single_table_filters,Q023,3.6646,4.2981,0.8526092924780717,-0.6334999999999997,-17.287016318288483,0
single_table_filters,Q024,6.6843,7.02,0.9521794871794873,-0.3356999999999992,-5.022216238050345,0
single_table_filters,Q025,16.7854,17.3762,0.965999470540164,-0.5908000000000015,-3.519725475711044,0
single_table_filters,Q026,18.7942,19.1368,0.9820973203461393,-0.3426000000000009,-1.822902810441524,0
single_table_filters,Q027,1620.0645,1643.4351,0.9857794201912811,-23.370599999999968,-1.4425721938848712,0
single_table_filters,Q028,1124.8387,1142.933,0.9841685383132694,-18.094299999999976,-1.6086128615596151,0
single_table_filters,Q029,1139.0324,1109.7641,1.0263734427884268,29.268299999999954,2.5695757205852927,0
single_table_filters,Q030,1198.5883,1203.4125,0.9959912332637395,-4.824200000000019,-0.40249016280235833,0
single_table_filters,Q031,1055.0611,1087.7273,0.9699683918938137,-32.66620000000012,-3.0961429627156303,0
single_table_filters,Q032,576.2059,596.4707,0.9660254896007466,-20.264799999999923,-3.5169372614893253,0
single_table_filters,Q033,0.2726,0.2303,1.183673469387755,0.042300000000000004,15.517241379310345,1
single_table_filters,Q034,820.2251,818.1887,1.0024889123988145,2.036399999999958,0.24827330936348543,0
single_table_filters,Q035,1452.3211,1437.9908,1.0099655018655196,14.330299999999852,0.9867170558907292,0
single_table_filters,Q036,282.8599,281.1956,1.0059186559106899,1.6642999999999688,0.588383153638946,0
single_table_filters,Q037,648.4531,657.3751,0.986427840056613,-8.922000000000025,-1.3758897906417635,0
single_table_filters,Q038,1193.4692,1178.6501,1.0125729425552163,14.819099999999935,1.241682650880302,0
single_table_filters,Q039,101.2093,97.8277,1.034566896696948,3.381600000000006,3.341194929714963,0
single_table_filters,Q040,172.6173,178.4483,0.9673238691542593,-5.830999999999989,-3.377992819954888,0
single_table_filters,Q041,407.8428,415.9745,0.980451445941999,-8.131699999999967,-1.9938319372071707,0
single_table_filters,Q042,479.0082,485.7895,0.9860406616446012,-6.7812999999999874,-1.415696015224789,0
single_table_filters,Q043,662.9701,677.9264,0.9779381655589752,-14.956299999999942,-2.2559539261272783,0
single_table_filters,Q044,259.89,262.6266,0.9895798826166123,-2.73660000000001,-1.0529839547500905,0
single_table_filters,Q045,230.778,234.6602,0.9834560781930638,-3.8822000000000116,-1.682222742202468,0
single_table_filters,Q046,201.7376,207.8768,0.970467122834294,-6.139200000000017,-3.0431610170835866,0
single_table_filters,Q047,143.9925,146.9095,0.980144238459732,-2.9170000000000016,-2.025799954858761,0
single_table_filters,Q048,101.4443,89.7197,1.1306803299609784,11.724599999999995,11.557672535568777,1
single_table_filters,Q049,121.6168,111.8504,1.087316630070165,9.766400000000004,8.030469474612064,1
single_table_filters,Q050,119.2101,124.3858,0.958389944832931,-5.175700000000006,-4.341662325591545,0
single_table_filters,Q051,229.6021,235.0259,0.9769225434303198,-5.4238,-2.3622606239228645,0
single_table_filters,Q052,122.1979,123.7145,0.9877411297786436,-1.5165999999999968,-1.2411015246579498,0
single_table_filters,Q053,97.0442,52.4738,1.8493838830044709,44.57040000000001,45.92793799114219,1
single_table_filters,Q054,24.7933,20.4461,1.2126175652080347,4.347199999999997,17.533769203776817,1
single_table_filters,Q055,21.276,21.4805,0.9904797374362795,-0.20449999999999946,-0.9611769129535602,0
single_table_filters,Q056,1.4044,1.4014,1.0021407164264309,0.0030000000000001137,0.21361435488465633,0
single_table_filters,Q057,5.3577,1.7562,3.0507345404851387,3.6015000000000006,67.22100901506244,1
single_table_filters,Q058,10.3609,10.4737,0.9892301669896981,-0.11279999999999824,-1.0887085098784683,0
single_table_filters,Q059,1.0125,1.0529,0.9616297844049767,-0.04039999999999999,-3.9901234567901227,0
single_table_filters,Q060,6.3657,5.6013,1.1364683198543195,0.7644000000000002,12.008105942787129,1
