category,count,avg_before,avg_after,avg_speedup,max_speedup,pct_improved
aggregation,199,550.7108628140703,251.56899648241208,4.16,558.626096491228,27.6
complex_queries,196,1323.346913265306,828.3804448979591,3.85,409.6320213069609,19.4
single_table_filters,111,151.02420720720718,151.48615495495494,1.62,29.46389124893798,21.6
three_table_joins,200,661.882805,702.416501,1.18,10.809944070150962,20.5
two_table_joins,199,160.7199889447236,160.8432472361809,1.76,88.62519107306635,21.1
