feature,importance
index_coverage_ratio,0.20051834102840826
has_full_scan,0.19230165355821863
max_join_type_score,0.1809412719825629
log_avg_runtime,0.08646681338603927
runtime_ratio,0.08608428778989537
log_rows_examined,0.03020529121914724
total_rows_examined,0.03012832741776623
num_tables,0.026718283048432677
has_index_scan,0.02476265520852926
has_range_scan,0.02179587248962902
has_using_index,0.01926193385486563
num_indexes_used,0.014057342971443345
avg_join_type_score,0.0128033476598641
has_filesort,0.011560429822329387
avg_possible_keys,0.011432554363960738
max_rows_examined,0.008486173954475845
category_encoded,0.008240901443846073
has_no_index,0.007894931026896599
has_temp_table,0.005993259744834514
avg_rows_examined,0.0058521182670692425
has_ref_scan,0.004103754787677295
num_select_types,0.004100983039160483
min_filtered_pct,0.002598737582390139
avg_filtered_pct,0.0019192271756867517
has_using_where,0.0011830917326528104
has_subquery,0.00029420612024271914
has_derived,0.00026109905427611896
has_union,3.3110269699484106e-05
