feature,importance
max_join_type_score,0.1975363442194602
full_scan_table_count,0.15216824915495983
has_full_scan,0.14353128081342306
index_coverage_ratio,0.11568675422180115
total_rows_examined,0.05993208813542714
log_rows_examined,0.04918450060422087
has_temp_table,0.04809245731948098
has_filesort,0.04558988959945515
has_range_scan,0.02744397444262737
max_rows_examined,0.02310359303864952
has_index_scan,0.022253054324265196
has_using_index,0.021189530525637025
num_tables,0.01847762338187696
avg_possible_keys,0.014274740042771772
avg_join_type_score,0.013663704059478966
rows_examined_per_table,0.011638175600730378
num_indexes_used,0.01134076741352234
category_encoded,0.004720607601896
has_no_index,0.0045760920123855825
min_filtered_pct,0.0036098271254272215
has_ref_scan,0.0031448126499311084
avg_filtered_pct,0.0024301725608094865
has_using_where,0.0023401509817118997
num_select_types,0.0023352170863164194
has_derived,0.0005876433835843245
has_subquery,0.0005841024858398793
has_possible_keys,0.00030047766029578946
has_union,0.00026416955401437954
has_const_scan,0.0
has_impossible_where,0.0
