category,query_id,query_number,avg_runtime_ms,min_runtime_ms,max_runtime_ms,runs,status,error,sql_preview
single_table_filters,Q038,38,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_QUANTITY > 15 AND L_DISCOUNT > 0.03
single_table_filters,Q039,39,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT L_ORDERKEY, L_QUANTITY FROM LINEITEM WHERE L_QUANTITY < 10"
single_table_filters,Q040,40,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT L_ORDERKEY, L_QUANTITY FROM LINEITEM WHERE L_QUANTITY >= 35"
single_table_filters,Q041,41,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_SHIPDATE BETWEEN '1994-01-01' AND '1995-01-01'
single_table_filters,Q042,42,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_DISCOUNT < 0.02
single_table_filters,Q043,43,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM LINEITEM WHERE L_QUANTITY > 20 AND L_SHIPDATE > '1996-01-01'
single_table_filters,Q044,44,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT L_ORDERKEY FROM LINEITEM WHERE L_QUANTITY > 5
single_table_filters,Q045,45,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT L_ORDERKEY FROM LINEITEM WHERE L_QUANTITY > 10
single_table_filters,Q046,46,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT L_ORDERKEY FROM LINEITEM WHERE L_QUANTITY > 15
single_table_filters,Q047,47,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT L_ORDERKEY FROM LINEITEM WHERE L_QUANTITY > 25
single_table_filters,Q048,48,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT L_ORDERKEY FROM LINEITEM WHERE L_QUANTITY > 35
single_table_filters,Q049,49,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT L_ORDERKEY, L_QUANTITY FROM LINEITEM WHERE L_QUANTITY BETWEEN 1 AND 10"
single_table_filters,Q050,50,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT L_ORDERKEY, L_QUANTITY FROM LINEITEM WHERE L_QUANTITY BETWEEN 10 AND 20"
single_table_filters,Q051,51,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT L_ORDERKEY, L_QUANTITY FROM LINEITEM WHERE L_QUANTITY BETWEEN 20 AND 40"
single_table_filters,Q052,52,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT L_ORDERKEY FROM LINEITEM WHERE L_QUANTITY BETWEEN 30 AND 50
single_table_filters,Q053,53,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT L_ORDERKEY FROM LINEITEM WHERE L_DISCOUNT > 0.08
single_table_filters,Q054,54,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM CUSTOMER WHERE C_ACCTBAL > 1000
single_table_filters,Q055,55,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM CUSTOMER WHERE C_ACCTBAL > 500
single_table_filters,Q056,56,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM CUSTOMER WHERE C_NATIONKEY = 10
single_table_filters,Q057,57,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM CUSTOMER WHERE C_ACCTBAL BETWEEN 200 AND 800
single_table_filters,Q058,58,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM CUSTOMER WHERE C_NATIONKEY BETWEEN 1 AND 10
single_table_filters,Q059,59,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT C_CUSTKEY, C_NAME FROM CUSTOMER WHERE C_NATIONKEY = 5"
single_table_filters,Q060,60,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM CUSTOMER WHERE C_MKTSEGMENT = 'BUILDING'
single_table_filters,Q061,61,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT C_CUSTKEY, C_NAME FROM CUSTOMER WHERE C_ACCTBAL < 300"
single_table_filters,Q062,62,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT C_CUSTKEY, C_ACCTBAL FROM CUSTOMER WHERE C_ACCTBAL >= 1200"
single_table_filters,Q063,63,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM CUSTOMER WHERE C_ACCTBAL < 200
single_table_filters,Q064,64,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM CUSTOMER WHERE C_NATIONKEY = 3
