query_id,category,avg_runtime_ms,min_runtime_ms,max_runtime_ms,runs,status,has_full_scan,full_scan_table_count,max_join_type_score,index_coverage_ratio,num_indexes_used,has_no_index,has_filesort,has_temp_table,num_tables,total_rows_examined,max_rows_examined,sql_preview
AGG_Q025,aggregation,4615.5323,4076.5178,5686.7414,3,OK,SELECT COUNT(*) AS total_lineitems FROM lineitem
AGG_Q026,aggregation,3803.2384,2960.8369,5411.7422,3,OK,SELECT SUM(o_totalprice) AS urgent_order_total FROM orders WHERE o_orderpriority
AGG_Q027,aggregation,108.4833,106.3161,112.2119,3,OK,SELECT COUNT(*) AS large_parts FROM part WHERE p_size > 20
AGG_Q028,aggregation,18.515,12.9011,29.202,3,OK,SELECT AVG(s_acctbal) AS avg_supplier_balance FROM supplier
AGG_Q029,aggregation,0.5844,0.2329,1.2751,3,OK,"SELECT MIN(l_quantity) AS min_qty, MAX(l_quantity) AS max_qty FROM lineitem"
AGG_Q030,aggregation,0.6057,0.1831,1.4269,3,OK,SELECT COUNT(*) AS total_regions FROM region
AGG_Q031,aggregation,2320.4156,2176.3229,2527.7801,3,OK,"SELECT o_custkey, COUNT(*) AS order_count FROM orders GROUP BY o_custkey ORDER B"
AGG_Q032,aggregation,69479.9303,60928.148,84640.4891,3,OK,"SELECT l_orderkey, SUM(l_extendedprice * (1 - l_discount)) AS order_revenue FROM"
AGG_Q033,aggregation,2033.1555,1671.3009,2756.6237,3,OK,"SELECT c_nationkey, AVG(c_acctbal) AS avg_balance FROM customer GROUP BY c_natio"
AGG_Q034,aggregation,801.5212,461.405,1471.7038,3,OK,"SELECT p_mfgr, COUNT(*) AS part_count FROM part GROUP BY p_mfgr ORDER BY part_co"
AGG_Q035,aggregation,3823.7906,2522.913,6236.2299,3,OK,"SELECT ps_suppkey, SUM(ps_availqty) AS total_qty FROM partsupp GROUP BY ps_suppk"
AGG_Q036,aggregation,5047.9023,5029.8979,5072.5012,3,OK,"SELECT ps_partkey, AVG(ps_supplycost) AS avg_cost FROM partsupp GROUP BY ps_part"
AGG_Q037,aggregation,2705.9337,2398.284,3301.733,3,OK,"SELECT o_orderpriority, COUNT(*) AS order_count FROM orders GROUP BY o_orderprio"
AGG_Q038,aggregation,124197.9973,121532.6011,128886.26,3,OK,"SELECT l_shipmode, SUM(l_quantity) AS total_quantity FROM lineitem GROUP BY l_sh"
AGG_Q039,aggregation,123791.641,120749.5401,128142.4029,3,OK,"SELECT l_shipmode, AVG(l_discount) AS avg_discount FROM lineitem GROUP BY l_ship"
AGG_Q040,aggregation,86348.2737,85929.2061,86820.658,3,OK,"SELECT l_returnflag, SUM(l_extendedprice * (1 - l_discount)) AS revenue FROM lin"
AGG_Q041,aggregation,14.2241,11.5149,18.3592,3,OK,"SELECT s_nationkey, COUNT(*) AS supplier_count FROM supplier GROUP BY s_nationke"
AGG_Q042,aggregation,3569.8141,3159.2138,4367.3453,3,OK,"SELECT p_type, AVG(p_retailprice) AS avg_price FROM part GROUP BY p_type ORDER B"
AGG_Q043,aggregation,6204.7,3965.363,10669.5309,3,OK,"SELECT YEAR(o_orderdate) AS order_year, SUM(o_totalprice) AS total_value FROM or"
AGG_Q044,aggregation,7738.986,7321.2543,8539.9299,3,OK,"SELECT l_linestatus, COUNT(*) AS lineitem_count FROM lineitem GROUP BY l_linesta"
AGG_Q045,aggregation,4103.3603,3926.8727,4439.3022,3,OK,"SELECT YEAR(o_orderdate) AS order_year, AVG(o_totalprice) AS avg_order_value FRO"
AGG_Q046,aggregation,5403.2701,4046.3412,8058.1319,3,OK,"SELECT ps_partkey, MIN(ps_supplycost) AS min_cost, MAX(ps_supplycost) AS max_cos"
AGG_Q048,aggregation,366.0547,240.89,616.302,3,OK,"SELECT c_mktsegment, COUNT(*) AS customer_count FROM customer GROUP BY c_mktsegm"
AGG_Q049,aggregation,1981.5623,1420.917,3097.7321,3,OK,"SELECT c_mktsegment, AVG(c_acctbal) AS avg_balance FROM customer GROUP BY c_mkts"
AGG_Q050,aggregation,36125.861,32264.832,38514.8759,3,OK,"SELECT l_suppkey, SUM(l_extendedprice * (1 - l_discount)) AS supplier_revenue FR"
AGG_Q051,aggregation,382.436,300.694,542.537,3,OK,"SELECT p_brand, COUNT(*) AS part_count FROM part GROUP BY p_brand ORDER BY part_"
AGG_Q052,aggregation,2932.495,2300.503,4188.1971,3,OK,"SELECT p_brand, AVG(p_size) AS avg_size FROM part GROUP BY p_brand ORDER BY avg_"
