feature,importance
max_join_type_score,0.1989823816985882
has_full_scan,0.1555323182085023
full_scan_table_count,0.14981456434684254
index_coverage_ratio,0.11868609292959643
log_rows_examined,0.0552000693697674
has_temp_table,0.04833202947517599
has_filesort,0.047388452630437644
num_tables,0.02821721866969
has_index_scan,0.02603530100557967
has_range_scan,0.025724022933592126
avg_possible_keys,0.024760284945505237
has_using_index,0.021306837444656335
avg_join_type_score,0.019898364414262616
num_indexes_used,0.017577294336980097
min_filtered_pct,0.0107755505800393
avg_filtered_pct,0.01033073305817046
rows_examined_per_table,0.007563974710663407
max_rows_examined,0.005750512502865409
has_no_index,0.005310054038474523
category_encoded,0.005094000715591518
total_rows_examined,0.004459189250076847
has_ref_scan,0.004249492398042686
has_using_where,0.004238514556662458
num_select_types,0.0018520066365443732
has_derived,0.0010538396146437235
has_subquery,0.0007551053935252053
has_union,0.000587260858373945
has_possible_keys,0.0005245332771496772
has_const_scan,0.0
has_impossible_where,0.0
