category,query_id,query_number,avg_runtime_ms,status,error
two_table_joins,Q034,145,57.4254,OK,
two_table_joins,Q035,146,61.5324,OK,
two_table_joins,Q036,147,146.6309,OK,
two_table_joins,Q037,148,331.7297,OK,
two_table_joins,Q038,149,41.8555,OK,
two_table_joins,Q039,150,51.8433,OK,
two_table_joins,Q040,151,185.3083,OK,
two_table_joins,Q041,152,981.3495,OK,
two_table_joins,Q042,153,302.8096,OK,
two_table_joins,Q043,154,971.6186,OK,
two_table_joins,Q044,155,159.2292,OK,
two_table_joins,Q045,156,93.5611,OK,
two_table_joins,Q046,157,105.0314,OK,
two_table_joins,Q047,158,78.175,OK,
two_table_joins,Q048,159,1.7084,OK,
two_table_joins,Q049,160,1.6105,OK,
two_table_joins,Q050,161,1.3112,OK,
two_table_joins,Q051,162,1.4789,OK,
two_table_joins,Q052,163,0.3941,OK,
two_table_joins,Q053,164,0.7646,OK,
two_table_joins,Q054,165,146.3007,OK,
two_table_joins,Q055,166,147.1312,OK,
two_table_joins,Q056,167,139.9099,OK,
two_table_joins,Q057,168,139.2603,OK,
two_table_joins,Q058,169,131.5397,OK,
two_table_joins,Q059,170,140.2102,OK,
two_table_joins,Q060,171,140.1819,OK,
two_table_joins,Q061,172,137.4126,OK,
two_table_joins,Q062,173,138.8683,OK,
two_table_joins,Q063,174,142.2467,OK,
two_table_joins,Q064,175,143.2642,OK,
two_table_joins,Q065,176,136.2878,OK,
two_table_joins,Q066,177,103.7198,OK,
two_table_joins,Q067,178,86.8833,OK,
two_table_joins,Q068,179,50.3182,OK,
two_table_joins,Q069,180,115.1186,OK,
two_table_joins,Q070,181,120.7432,OK,
two_table_joins,Q071,182,119.5228,OK,
two_table_joins,Q072,183,28.0252,OK,
two_table_joins,Q073,184,30.4213,OK,
two_table_joins,Q074,185,40.4137,OK,
two_table_joins,Q075,186,127.1028,OK,
two_table_joins,Q076,187,127.3469,OK,
two_table_joins,Q077,188,126.7235,OK,
two_table_joins,Q078,189,510.1797,OK,
two_table_joins,Q079,190,392.6699,OK,
two_table_joins,Q080,191,281.8519,OK,
two_table_joins,Q081,192,265.601,OK,
two_table_joins,Q082,193,460.5676,OK,
two_table_joins,Q083,194,357.1576,OK,
two_table_joins,Q084,195,263.8295,OK,
